 # The filling factors of cosmological HII/HeIII regions and the ensuing electron scattering optical depth
 #
 # The following 11 lines are model identification flags 
 # CUBA V6.3 Nov 2011
 # 0.1000E+01
 # 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
 # 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
 # 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
 # 0.1000E+01
 # Inputs/salp_SFRD1parfit.hiz.dat
 # Inputs/column_dist.dat
 # 0.1000E+01
 # 0.1800E-03 0.3400E+01
 # 0.1000E+02
 #
 # The following 3 lines are column identification labels
 # z=redshift, Q_HII=ionized hydrogen filling factor, Q_HeIII=doubly ionized helium filling factor,
 # tau_es= (HII+HeII+HeIII) electron scattering optical depth from z to infinity
 #   z         Q_HII     Q_HeIII    tau_es

 0.3050E+01 0.2910E+01 0.7395E+00 0.6910E-01
 0.3000E+01 0.2991E+01 0.7850E+00 0.6944E-01
 0.2950E+01 0.3076E+01 0.8329E+00 0.6978E-01
 0.2900E+01 0.3166E+01 0.8814E+00 0.7012E-01
 0.2850E+01 0.3259E+01 0.9326E+00 0.7046E-01
 0.2800E+01 0.3355E+01 0.9841E+00 0.7080E-01
 0.2750E+01 0.3456E+01 0.1037E+01 0.7114E-01
 0.2700E+01 0.3561E+01 0.1092E+01 0.7148E-01
 0.2650E+01 0.3668E+01 0.1148E+01 0.7181E-01
 0.2600E+01 0.3780E+01 0.1204E+01 0.7214E-01
 0.2550E+01 0.3895E+01 0.1260E+01 0.7246E-01
 0.2500E+01 0.4014E+01 0.1317E+01 0.7279E-01
 0.2450E+01 0.4135E+01 0.1372E+01 0.7311E-01
 0.2400E+01 0.4261E+01 0.1427E+01 0.7343E-01
 0.2350E+01 0.4387E+01 0.1480E+01 0.7374E-01
 0.2300E+01 0.4515E+01 0.1533E+01 0.7406E-01
 0.2250E+01 0.4646E+01 0.1583E+01 0.7437E-01
 0.2200E+01 0.4776E+01 0.1630E+01 0.7468E-01
 0.2150E+01 0.4908E+01 0.1674E+01 0.7498E-01
 0.2100E+01 0.5040E+01 0.1714E+01 0.7528E-01
 0.2050E+01 0.5169E+01 0.1748E+01 0.7558E-01
 0.2000E+01 0.5299E+01 0.1779E+01 0.7587E-01
 0.1950E+01 0.5424E+01 0.1803E+01 0.7617E-01
 0.1900E+01 0.5545E+01 0.1822E+01 0.7646E-01
 0.1850E+01 0.5662E+01 0.1834E+01 0.7675E-01
 0.1800E+01 0.5775E+01 0.1839E+01 0.7703E-01
 0.1750E+01 0.5880E+01 0.1837E+01 0.7731E-01
 0.1700E+01 0.5976E+01 0.1826E+01 0.7759E-01
